Symbol,Name,Volume [$],Market Cap,Market Cap Rank,7D Change [%],24H Change [%]
axs,Axie Infinity,49047205,816587641,90,-6.4484508579,-3.0419029893
tkx,Tokenize Xchange,7611878,806358703,91,-3.0877888523,-0.8914122799
rseth,Kelp DAO Restaked ETH,3196320,797420729,92,-2.7275493758,-1.2088322608
gala,GALA,96212246,787149005,93,-8.5976425373,-3.5916873398
ens,Ethereum Name Service,135282404,778594256,94,-11.4460046589,-2.6367865858
flr,Flare,9218217,774551671,95,-7.7923525854,0.9126983254
ftn,Fasttoken,71932383,754037426,96,0.4958921424,-0.18903659
xec,eCash,14504183,748333069,97,10.1840419876,-0.9177795311
usdd,USDD,4452784,741255184,98,-0.0097002518,0.077046853
neo,NEO,33888701,737601830,99,-7.5983600583,-2.4608930646
strk,Starknet,118079072,730968191,100,-14.4954721163,-4.8148730921
cbeth,Coinbase Wrapped Staked ETH,7250786,720153912,101,-2.6917959085,-1.2335215031
xtz,Tezos,39129936,707713468,102,-6.8171642349,-1.6694679214
dydx,dYdX,30583545,704083477,103,-9.4445646448,-2.6904562164
