Symbol,Name,Volume [$],Market Cap,Market Cap Rank,7D Change [%],24H Change [%]
TKX,Tokenize Xchange,9052632,888643715,92,11.8187534734,1.3156485926
RSETH,Kelp DAO Restaked ETH,3152484,887899599,93,10.8837344279,0.6521251362
DYDX,dYdX,21517291,879761551,94,9.4090514803,4.2574215027
ENS,Ethereum Name Service,139103232,874092645,95,6.0599973365,1.9210959691
AKT,Akash Network,12706701,867185177,96,4.636265549,5.5916553937
BTT,BitTorrent,25212804,866146019,97,10.5230298789,2.1006087272
ORDI,ORDI,206985917,864383976,98,25.8283338579,10.8298641251
ENA,Ethena,112330718,851076112,99,26.056214969,4.5431090342
NEO,NEO,21686471,829930552,100,15.5835334306,2.7088383571
XTZ,Tezos,33404385,793273762,101,2.4239090784,-2.2068254177
STRK,Starknet,118079072,730968191,100,-14.4954721163,-4.8148730921
